T,X,V,A,P1,P2,DP1,DP2,U
4.500000052587438e-02,	5.000000000000000e+00,	9.548590745165242e-01,	-1.738945458409682e+01,	7.718681929813672e+05,	1.767835657862190e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
4.600000053756048e-02,	5.000000000000000e+00,	9.373608376753354e-01,	-1.757873073770775e+01,	7.718133055709723e+05,	1.767875839539769e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
4.700000054924658e-02,	5.000000000000000e+00,	9.197581269541728e-01,	-1.759851788956657e+01,	7.717837996634156e+05,	1.767897439764728e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
4.800000056093268e-02,	5.000000000000000e+00,	9.022198162364732e-01,	-1.745031374253303e+01,	7.717797040446171e+05,	1.767900437463287e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
4.900000057261877e-02,	5.000000000000000e+00,	8.849124851341482e-01,	-1.713720282373313e+01,	7.718008049377323e+05,	1.767884989138563e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
5.000000058430487e-02,	5.000000000000000e+00,	8.679988535487769e-01,	-1.666381128646966e+01,	7.718466504548510e+05,	1.767851425611541e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
5.100000059599097e-02,	5.000000000000000e+00,	8.516362686091535e-01,	-1.603624746308790e+01,	7.719165572746921e+05,	1.767800247132428e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
5.200000060767707e-02,	5.000000000000000e+00,	8.359752578904664e-01,	-1.526202887737140e+01,	7.720096194604755e+05,	1.767732116925205e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
5.300000061936316e-02,	5.000000000000000e+00,	8.211581620500792e-01,	-1.434999654709905e+01,	7.721247193126036e+05,	1.767647853242527e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
5.400000063104926e-02,	5.000000000000000e+00,	8.073178591269687e-01,	-1.331021752031078e+01,	7.722605401324311e+05,	1.767548420021543e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
5.500000064273536e-02,	5.000000000000000e+00,	7.945765917560716e-01,	-1.215387669162847e+01,	7.724155807564111e+05,	1.767434916243647e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
5.600000065442146e-02,	5.000000000000000e+00,	7.830449074555712e-01,	-1.089315903677782e+01,	7.725881717044241e+05,	1.767308564112500e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
5.700000066610755e-02,	5.000000000000000e+00,	7.728207209660046e-01,	-9.541123483491280e+00,	7.727764927722655e+05,	1.767170696174817e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
