T,V,X,P1,P2,A,F,F1,F2,Q1,Q2,QI,QS,Y,U,DT
3.119996000079418e-01,	9.345727926438924e-01,	2.167562056504970e+00,	1.656412528372181e+06,	3.781051885750895e+06,	1.724601727178667e+00,	1.107032965361759e+01,	8.326037362514306e+03,	8.314967032860688e+03,	4.341139805481372e-03,	-2.922307590027574e-03,	4.341139805481372e-03,	-2.922307590027574e-03,	1.000000000000000e+00,	1.000000000000000e+00,1.000000000000000e-07
3.129996000079706e-01,	9.362446026247663e-01,	2.168497484427537e+00,	1.651345913674955e+06,	3.769567540560640e+06,	1.495693880607623e+00,	1.085813990685529e+01,	8.300569779682133e+03,	8.289711639775278e+03,	4.342457676526065e-03,	-2.917866033427437e-03,	4.342457676526065e-03,	-2.917866033427437e-03,	1.000000000000000e+00,	1.000000000000000e+00,1.000000000000000e-07
3.139996000079993e-01,	9.373500430957730e-01,	2.169434354137751e+00,	1.646196270598119e+06,	3.758184075829884e+06,	6.332558715008680e-01,	1.000675630245860e+01,	8.274684850700411e+03,	8.264678094397952e+03,	4.343796734269743e-03,	-2.913456810047233e-03,	4.343796734269743e-03,	-2.913456810047233e-03,	1.000000000000000e+00,	1.000000000000000e+00,1.000000000000000e-07
3.149996000080281e-01,	9.374173145901351e-01,	2.170371833497589e+00,	1.641022640686709e+06,	3.746876767545988e+06,	-5.068481940762108e-01,	8.867324951825140e+00,	8.248679350739265e+03,	8.239812025787440e+03,	4.345141613741748e-03,	-2.909070468730701e-03,	4.345141613741748e-03,	-2.909070468730701e-03,	1.000000000000000e+00,	1.000000000000000e+00,1.000000000000000e-07
3.159995000080568e-01,	9.363991136831606e-01,	2.171308728143741e+00,	1.635903294151448e+06,	3.735614306552642e+06,	-1.461863869482618e+00,	7.902127267348988e+00,	8.222946708783140e+03,	8.215044581515791e+03,	4.346471972704719e-03,	-2.904694940222345e-03,	4.346471972704719e-03,	-2.904694940222345e-03,	1.000000000000000e+00,	1.000000000000000e+00,1.000000000000000e-07
3.169995000080856e-01,	9.346852934907923e-01,	2.172244302924646e+00,	1.630902094026940e+06,	3.724367377668466e+06,	-1.850211617947474e+00,	7.496641316960449e+00,	8.197807935451725e+03,	8.190311294134764e+03,	4.347771236001346e-03,	-2.900318858596601e-03,	4.347771236001346e-03,	-2.900318858596601e-03,	1.000000000000000e+00,	1.000000000000000e+00,1.000000000000000e-07
3.179995000081143e-01,	9.329404694734404e-01,	2.173178088364154e+00,	1.626045606973930e+06,	3.713126151207695e+06,	-1.523382387024395e+00,	7.806022307710009e+00,	8.173396569344959e+03,	8.165590547037249e+03,	4.349032532778055e-03,	-2.895938388028833e-03,	4.349032532778055e-03,	-2.895938388028833e-03,	1.000000000000000e+00,	1.000000000000000e+00,1.000000000000000e-07
3.189995000081431e-01,	9.318324298201882e-01,	2.174110399232214e+00,	1.621311062703093e+06,	3.701899883670079e+06,	-6.228661200144447e-01,	8.695458178187437e+00,	8.149598154506713e+03,	8.140902696328526e+03,	4.350261807292782e-03,	-2.891557123836345e-03,	4.350261807292782e-03,	-2.891557123836345e-03,	1.000000000000000e+00,	1.000000000000000e+00,1.000000000000000e-07
3.199995000081718e-01,	9.317633918602080e-01,	2.175042104509847e+00,	1.616636678618704e+06,	3.690713959887931e+06,	4.809376567699992e-01,	9.798571575372080e+00,	8.126102137743541e+03,	8.116303566168169e+03,	4.351475121174879e-03,	-2.887184991855422e-03,	4.351475121174879e-03,	-2.887184991855422e-03,	1.000000000000000e+00,	1.000000000000000e+00,1.000000000000000e-07
3.209995000082006e-01,	9.327118248135718e-01,	2.175974269951505e+00,	1.611947031037032e+06,	3.679599372768270e+06,	1.340966512261787e+00,	1.066808476039751e+01,	8.102529398276038e+03,	8.091861313515640e+03,	4.352692057080863e-03,	-2.882834175022930e-03,	4.352692057080863e-03,	-2.882834175022930e-03,	1.000000000000000e+00,	1.000000000000000e+00,1.000000000000000e-07
3.219995000082294e-01,	9.342470009851640e-01,	2.176907726425009e+00,	1.607183561381798e+06,	3.668580091884448e+06,	1.614468376308251e+00,	1.095693838615989e+01,	8.078585588599796e+03,	8.067628650213636e+03,	4.353927801169044e-03,	-2.878514174094231e-03,	4.353927801169044e-03,	-2.878514174094231e-03,	1.000000000000000e+00,	1.000000000000000e+00,1.000000000000000e-07
3.229995000082581e-01,	9.357080102200332e-01,	2.177842738770448e+00,	1.602327869752373e+06,	3.657663433620212e+06,	1.199474796113730e+00,	1.055655489831406e+01,	8.054178220727998e+03,	8.043621665829684e+03,	4.355187108695393e-03,	-2.874228002770339e-03,	4.355187108695393e-03,	-2.874228002770339e-03,	1.000000000000000e+00,	1.000000000000000e+00,1.000000000000000e-07
3.239994000082869e-01,	9.364728805183096e-01,	2.178778813384231e+00,	1.597409016959046e+06,	3.646838345413058e+06,	2.725869078297727e-01,	9.637315713012867e+00,	8.029453370223397e+03,	8.019816054510384e+03,	4.356462425703113e-03,	-2.869971463415748e-03,	4.356462425703113e-03,	-2.869971463415748e-03,	1.000000000000000e+00,	1.000000000000000e+00,1.000000000000000e-07
3.249994000083156e-01,	9.362085150209782e-01,	2.179715242948717e+00,	1.592489363370743e+06,	3.636076155525452e+06,	-7.863544802891518e-01,	8.575730669920631e+00,	8.004724494484276e+03,	7.996148763814355e+03,	4.357737577013928e-03,	-2.865733389014698e-03,	4.357737577013928e-03,	-2.865733389014698e-03,	1.000000000000000e+00,	1.000000000000000e+00,1.000000000000000e-07
3.259994000083444e-01,	9.350002668233582e-01,	2.180650911366438e+00,	1.587641522706490e+06,	3.625347849450941e+06,	-1.549400313176601e+00,	7.800602355056981e+00,	7.980356589867090e+03,	7.972555987512033e+03,	4.358993749852645e-03,	-2.861502410570405e-03,	4.358993749852645e-03,	-2.861502410570405e-03,	1.000000000000000e+00,	1.000000000000000e+00,1.000000000000000e-07
3.269994000083731e-01,	9.333121716157750e-01,	2.181585081358154e+00,	1.582917218802075e+06,	3.614631814547610e+06,	-1.713669915669145e+00,	7.619451800488605e+00,	7.956609648723937e+03,	7.948990196923449e+03,	4.360217563651054e-03,	-2.857270017190659e-03,	4.360217563651054e-03,	-2.857270017190659e-03,	1.000000000000000e+00,	1.000000000000000e+00,1.000000000000000e-07
