T,V,X,P1,P2,A,F,F1,F2,Q1,Q2,QI,QS,Y,U,DT
4.800000000035033e-02,	9.651174325791807e-01,	2.042586383747915e+00,	7.794488415319350e+05,	1.764353564806884e+06,	2.826999657500456e+01,	3.792117090079637e+01,	3.917937147662773e+03,	3.880015976761976e+03,	4.563581402838216e-03,	-1.996197717556994e-03,	4.563581402838216e-03,	-1.996197717556994e-03,	1.000000000000000e+00,	1.000000000000000e+00,1.000000000000000e-07
4.900000000037909e-02,	9.922944441950021e-01,	2.043565282469583e+00,	7.790932107936145e+05,	1.764468516126476e+06,	2.595784027782040e+01,	3.588078471977042e+01,	3.916149552626031e+03,	3.880268767906260e+03,	4.563669409192014e-03,	-1.996262749698894e-03,	4.563669409192014e-03,	-1.996262749698894e-03,	1.000000000000000e+00,	1.000000000000000e+00,1.000000000000000e-07
5.000000000040784e-02,	1.016794190280314e+00,	2.044570079273456e+00,	7.786080722357810e+05,	1.764625260462577e+06,	2.292957170310830e+01,	3.309751360591144e+01,	3.913710980296173e+03,	3.880613466690261e+03,	4.563789461532071e-03,	-1.996351422256325e-03,	4.563789461532071e-03,	-1.996351422256325e-03,	1.000000000000000e+00,	1.000000000000000e+00,1.000000000000000e-07
5.100000000043660e-02,	1.037946018299440e+00,	2.045597753733390e+00,	7.780086459402143e+05,	1.764818908288321e+06,	1.927915448116314e+01,	2.965861466415754e+01,	3.910697935147410e+03,	3.881039320483252e+03,	4.563937791143071e-03,	-1.996460966217780e-03,	4.563937791143071e-03,	-1.996460966217780e-03,	1.000000000000000e+00,	1.000000000000000e+00,1.000000000000000e-07
5.200000000046535e-02,	1.055181863315723e+00,	2.046644664670200e+00,	7.773132450327254e+05,	1.765043568246241e+06,	1.511727684157056e+01,	2.566909547472778e+01,	3.907202468988766e+03,	3.881533373514038e+03,	4.564109863883719e-03,	-1.996588045792814e-03,	4.564109863883719e-03,	-1.996588045792814e-03,	1.000000000000000e+00,	1.000000000000000e+00,1.000000000000000e-07
5.300000000049411e-02,	1.068051333207357e+00,	2.047706660560663e+00,	7.765427183111999e+05,	1.765292525512330e+06,	1.056800686102589e+01,	2.124852019309947e+01,	3.903329379307090e+03,	3.882080859113991e+03,	4.564300518475643e-03,	-1.996728859765451e-03,	4.564300518475643e-03,	-1.996728859765451e-03,	1.000000000000000e+00,	1.000000000000000e+00,1.000000000000000e-07
5.400000000052287e-02,	1.076233268556847e+00,	2.048779203297826e+00,	7.757198269657625e+05,	1.765558441734755e+06,	5.765104230136565e+00,	1.652743691570504e+01,	3.899193076320941e+03,	3.882665639405236e+03,	4.564504121067945e-03,	-1.996879255011316e-03,	4.564504121067945e-03,	-1.996879255011316e-03,	1.000000000000000e+00,	1.000000000000000e+00,1.000000000000000e-07
5.500000000055162e-02,	1.079543488000399e+00,	2.049857501623386e+00,	7.748685740434298e+05,	1.765833570617618e+06,	8.480982282721943e-01,	1.164353310827619e+01,	3.894914212502362e+03,	3.883270679394086e+03,	4.564714731422352e-03,	-1.997034848774921e-03,	4.564714731422352e-03,	-1.997034848774921e-03,	1.000000000000000e+00,	1.000000000000000e+00,1.000000000000000e-07
5.600000000058038e-02,	1.077938542415000e+00,	2.050936650319775e+00,	7.740135064101059e+05,	1.766109982840064e+06,	-4.041753162879157e+00,	6.737632261270846e+00,	3.890616173855233e+03,	3.883878541593962e+03,	4.564926275800514e-03,	-1.997191156099471e-03,	4.564926275800514e-03,	-1.997191156099471e-03,	1.000000000000000e+00,	1.000000000000000e+00,1.000000000000000e-07
5.700000000060913e-02,	1.071515417459900e+00,	2.052011771130660e+00,	7.731790094755315e+05,	1.766379793803439e+06,	-8.765506225888792e+00,	1.949647948710208e+00,	3.886421534816251e+03,	3.884471886867541e+03,	4.565132721520391e-03,	-1.997343718704932e-03,	4.565132721520391e-03,	-1.997343718704932e-03,	1.000000000000000e+00,	1.000000000000000e+00,1.000000000000000e-07
5.800000000063789e-02,	1.060507240282501e+00,	2.053078151376777e+00,	7.723886148688812e+05,	1.766635387689772e+06,	-1.319046130692592e+01,	-2.585388904100910e+00,	3.882448578252968e+03,	3.885033967157069e+03,	4.565328248182038e-03,	-1.997488231622269e-03,	4.565328248182038e-03,	-1.997488231622269e-03,	1.000000000000000e+00,	1.000000000000000e+00,1.000000000000000e-07
5.900000000066664e-02,	1.045275159311528e+00,	2.054131376346304e+00,	7.716643406000031e+05,	1.766869631491065e+06,	-1.719386899996094e+01,	-6.741117406845660e+00,	3.878807978752484e+03,	3.885549096159330e+03,	4.565507410738901e-03,	-1.997620664009337e-03,	4.565507410738901e-03,	-1.997620664009337e-03,	1.000000000000000e+00,	1.000000000000000e+00,1.000000000000000e-07
6.000000000069540e-02,	1.026296672818718e+00,	2.055167451762181e+00,	7.710260820436195e+05,	1.767076073023577e+06,	-2.066631013578036e+01,	-1.040334340759318e+01,	3.875599741374192e+03,	3.886003084781786e+03,	4.565665289900089e-03,	-1.997737370790789e-03,	4.565665289900089e-03,	-1.997737370790789e-03,	1.000000000000000e+00,	1.000000000000000e+00,1.000000000000000e-07
6.100000000072416e-02,	1.004150779406379e+00,	2.056182912954150e+00,	7.704910703882970e+05,	1.767249117462718e+06,	-2.351465763969233e+01,	-1.347314984562854e+01,	3.872910479517442e+03,	3.886383629363070e+03,	4.565797625778704e-03,	-1.997835192072056e-03,	4.565797625778704e-03,	-1.997835192072056e-03,	1.000000000000000e+00,	1.000000000000000e+00,1.000000000000000e-07
6.200000000075291e-02,	9.795004091644771e-01,	2.057174917780172e+00,	7.700734130554606e+05,	1.767384177605132e+06,	-2.566454139261889e+01,	-1.586953730097412e+01,	3.870811104815572e+03,	3.886680642116546e+03,	4.565900931236248e-03,	-1.997911537664954e-03,	4.565900931236248e-03,	-1.997911537664954e-03,	1.000000000000000e+00,	1.000000000000000e+00,1.000000000000000e-07
6.300000000078167e-02,	9.530726657146622e-01,	2.058141320837716e+00,	7.697837280857841e+05,	1.767477793865090e+06,	-2.706225231180533e+01,	-1.753152565465871e+01,	3.869354989361498e+03,	3.886886515016156e+03,	4.565972581995459e-03,	-1.997964454517696e-03,	4.565972581995459e-03,	-1.997964454517696e-03,	1.000000000000000e+00,	1.000000000000000e+00,1.000000000000000e-07
6.400000000081042e-02,	9.256374649323039e-01,	2.059080727064579e+00,	7.696288816862950e+05,	1.767527720917342e+06,	-2.767603850772382e+01,	-1.841966385840078e+01,	3.868576646475584e+03,	3.886996310333985e+03,	4.566010881284902e-03,	-1.997992675350569e-03,	4.566010881284902e-03,	-1.997992675350569e-03,	1.000000000000000e+00,	1.000000000000000e+00,1.000000000000000e-07
6.500000000083918e-02,	8.979851944939912e-01,	2.059992523435918e+00,	7.696118351143247e+05,	1.767532978881354e+06,	-2.749676408477249e+01,	-1.851691213983258e+01,	3.868490961060450e+03,	3.887007873200282e+03,	4.566015097518256e-03,	-1.997995647345884e-03,	4.566015097518256e-03,	-1.997995647345884e-03,	1.000000000000000e+00,	1.000000000000000e+00,1.000000000000000e-07
6.600000000086793e-02,	8.709040387144074e-01,	2.060876888099318e+00,	7.697316039287316e+05,	1.767493867974198e+06,	-2.653791943871347e+01,	-1.782887905156940e+01,	3.869092984775276e+03,	3.886921863826846e+03,	4.565985474279287e-03,	-1.997973540311841e-03,	4.565985474279287e-03,	-1.997973540311841e-03,	1.000000000000000e+00,	1.000000000000000e+00,1.000000000000000e-07
