T,X,V,A,P1,P2,U
1.005991011756109e+00,	2.792490099685024e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
1.006991011767795e+00,	2.793398243036654e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
1.007991111779482e+00,	2.794306477202619e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
1.008991111791168e+00,	2.795214620554249e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
1.009991211802856e+00,	2.796122854720214e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
1.010991211814542e+00,	2.797030998071844e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
1.011991311826229e+00,	2.797939232237809e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
1.012991311837915e+00,	2.798847375589439e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
1.013991311849601e+00,	2.799755518941069e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
1.014991411861288e+00,	2.800663753107035e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
1.015991411872974e+00,	2.801571896458665e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
1.016991511884662e+00,	2.802480130624630e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
1.017991511896348e+00,	2.803388273976260e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
1.018991611908035e+00,	2.804296508142225e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
1.019991611919721e+00,	2.805204651493855e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
1.020991711931408e+00,	2.806112885659820e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
1.021991711943095e+00,	2.807021029011450e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
1.022991811954782e+00,	2.807929263177416e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
1.023991811966468e+00,	2.808837406529046e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
1.024991911978155e+00,	2.809745640695011e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
1.025991911989841e+00,	2.810653784046641e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
1.026992012001529e+00,	2.811562018212606e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
1.027992012013215e+00,	2.812470161564236e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
1.028992012024901e+00,	2.813378304915866e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
1.029992112036588e+00,	2.814286539081831e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
1.030992112048274e+00,	2.815194682433461e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
1.031992212059961e+00,	2.816102916599426e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
1.032992212071647e+00,	2.817011059951056e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
1.033992312083335e+00,	2.817919294117022e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
1.034992312095021e+00,	2.818827437468652e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
1.035992412106708e+00,	2.819735671634617e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
1.036992412118394e+00,	2.820643814986247e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
1.037992512130081e+00,	2.821552049152212e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
1.038992512141768e+00,	2.822460192503842e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
1.039992612153455e+00,	2.823368426669807e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
1.040992612165141e+00,	2.824276570021437e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
1.041992712176828e+00,	2.825184804187403e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
1.042992712188514e+00,	2.826092947539033e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
1.043992712200200e+00,	2.827001090890663e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
1.044992812211888e+00,	2.827909325056628e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
1.045992812223574e+00,	2.828817468408258e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
1.046992912235261e+00,	2.829725702574223e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
1.047992912246947e+00,	2.830633845925853e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
1.048993012258634e+00,	2.831542080091818e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
1.049993012270320e+00,	2.832450223443448e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
1.050993112282008e+00,	2.833358457609414e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
1.051993112293694e+00,	2.834266600961044e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
1.052993212305381e+00,	2.835174835127009e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
1.053993212317067e+00,	2.836082978478639e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
1.054993312328754e+00,	2.836991212644604e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
1.055993312340441e+00,	2.837899355996234e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
1.056993412352128e+00,	2.838807590162199e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
1.057993412363814e+00,	2.839715733513829e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
1.058993412375500e+00,	2.840623876865459e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
1.059993512387187e+00,	2.841532111031424e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
1.060993512398873e+00,	2.842440254383054e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
1.061993612410561e+00,	2.843348488549020e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
1.062993612422247e+00,	2.844256631900650e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
1.063993712433934e+00,	2.845164866066615e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
1.064993712445620e+00,	2.846073009418245e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
1.065993812457307e+00,	2.846981243584210e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
1.066993812468993e+00,	2.847889386935840e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
1.067993912480681e+00,	2.848797621101805e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
1.068993912492367e+00,	2.849705764453435e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
1.069994012504054e+00,	2.850613998619401e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
1.070994012515740e+00,	2.851522141971031e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
1.071994112527427e+00,	2.852430376136996e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
1.072994112539114e+00,	2.853338519488626e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
1.073994212550801e+00,	2.854246753654591e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
1.074994212562487e+00,	2.855154897006221e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
1.075994212574173e+00,	2.856063040357851e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
1.076994312585860e+00,	2.856971274523816e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
1.077994312597546e+00,	2.857879417875446e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
1.078994412609234e+00,	2.858787652041411e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
1.079994412620920e+00,	2.859695795393042e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
1.080994512632607e+00,	2.860604029559007e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
1.081994512644293e+00,	2.861512172910637e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
1.082994612655980e+00,	2.862420407076602e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
1.083994612667667e+00,	2.863328550428232e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
1.084994712679354e+00,	2.864236784594197e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
1.085994712691040e+00,	2.865144927945827e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
1.086994812702727e+00,	2.866053162111792e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
1.087994812714413e+00,	2.866961305463422e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
1.088994912726100e+00,	2.867869539629388e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
1.089994912737787e+00,	2.868777682981018e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
1.090994912749473e+00,	2.869685826332648e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
1.091995012761160e+00,	2.870594060498613e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
1.092995012772846e+00,	2.871502203850243e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
1.093995112784533e+00,	2.872410438016208e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
1.094995112796219e+00,	2.873318581367838e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
1.095995212807907e+00,	2.874226815533803e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
1.096995212819593e+00,	2.875134958885433e+00,	9.081433415506399e-01,	-5.407126843283642e-10,	3.044776122265702e+06,	6.955358877734298e+06,	1.000000000000000e+00
