T,X,V,A,U
1.220000664575216e-01,	2.002846018108199e+00,	3.223795717257277e-01,	1.915376841827674e+01,	3.550345146933120e-01
1.230000685402622e-01,	2.003177947167839e+00,	3.414474691676921e-01,	1.897539338871138e+01,	3.760339115277390e-01
1.240000705230027e-01,	2.003528848565478e+00,	3.603180488491331e-01,	1.875985525537544e+01,	3.968158541433449e-01
1.250000726057433e-01,	2.003898507178346e+00,	3.789562524415682e-01,	1.851130450653000e+01,	4.173417247374550e-01
1.260000745884838e-01,	2.004286674701516e+00,	3.973310127493664e-01,	1.823359092407190e+01,	4.375773035028739e-01
1.270000766712243e-01,	2.004693073794904e+00,	4.154149767119044e-01,	1.793028104847326e+01,	4.574924633790933e-01
1.280000786539648e-01,	2.005117401341202e+00,	4.331842160443329e-01,	1.760467518486257e+01,	4.770608511756726e-01
1.290000806367054e-01,	2.005559332027327e+00,	4.506179816575198e-01,	1.725982314372959e+01,	4.962596169008706e-01
1.300000827194459e-01,	2.006018521280890e+00,	4.676984553106854e-01,	1.689853945932555e+01,	5.150691400410696e-01
1.310000847021864e-01,	2.006494607941196e+00,	4.844105166154054e-01,	1.652341787324258e+01,	5.334727727493559e-01
1.320000867849270e-01,	2.006987217179401e+00,	5.007415408712709e-01,	1.613684470518638e+01,	5.514566169936126e-01
1.330000887676675e-01,	2.007495962504573e+00,	5.166811849437970e-01,	1.574101207037893e+01,	5.690092885461144e-01
1.340000908504080e-01,	2.008020448351811e+00,	5.322212121444266e-01,	1.533792981534498e+01,	5.861217239344376e-01
1.350000928331486e-01,	2.008560271685778e+00,	5.473553032201743e-01,	1.492943742869102e+01,	6.027869721094151e-01
1.360000949158891e-01,	2.009115024260421e+00,	5.620789038040510e-01,	1.451721469792392e+01,	6.190000262774744e-01
1.370000968986296e-01,	2.009684293867686e+00,	5.763890580125030e-01,	1.410279242220713e+01,	6.347576404930145e-01
1.380000988813702e-01,	2.010267666254586e+00,	5.902842746596311e-01,	1.368756194871821e+01,	6.500581821822460e-01
1.390001009641107e-01,	2.010864726354409e+00,	6.037643880123585e-01,	1.327278458385263e+01,	6.649014786704104e-01
1.400001029468512e-01,	2.011475059363931e+00,	6.168304283190282e-01,	1.285960048891866e+01,	6.792886744857850e-01
1.410001050295918e-01,	2.012098252304767e+00,	6.294845140550306e-01,	1.244903667459585e+01,	6.932221125909463e-01
1.420001070123323e-01,	2.012733894563878e+00,	6.417297324306034e-01,	1.204201514965098e+01,	7.067052027028976e-01
1.430001090950728e-01,	2.013381579313901e+00,	6.535700480712096e-01,	1.163935996553482e+01,	7.197423206471566e-01
1.440001110778134e-01,	2.014040903829516e+00,	6.650101989360642e-01,	1.124180449363485e+01,	7.323386936720258e-01
1.450001130605539e-01,	2.014711470671990e+00,	6.760556171720780e-01,	1.084999769134447e+01,	7.445003132303424e-01
1.460001151432944e-01,	2.015392888149329e+00,	6.867123442051258e-01,	1.046451039014937e+01,	7.562338414265917e-01
1.470001171260349e-01,	2.016084770677718e+00,	6.969869525240250e-01,	1.008584121333843e+01,	7.675465248432306e-01
1.480001192087755e-01,	2.016786739761355e+00,	7.068864834766198e-01,	9.714421762764687e+00,	7.784461260060496e-01
1.490001211915160e-01,	2.017498423869394e+00,	7.164183747697488e-01,	9.350622051031678e+00,	7.889408435214806e-01
1.500001232742565e-01,	2.018219459368824e+00,	7.255904090864335e-01,	8.994755021376477e+00,	7.990392554721281e-01
1.510001252569971e-01,	2.018949490269251e+00,	7.344106518182935e-01,	8.647081358707510e+00,	8.087502508348298e-01
1.520001273397376e-01,	2.019688169059112e+00,	7.428874081482185e-01,	8.307813445928332e+00,	8.180829822096637e-01
1.530001293224781e-01,	2.020435156335496e+00,	7.510291698374815e-01,	7.977119616487471e+00,	8.270468072191246e-01
1.540001313052187e-01,	2.021190121487134e+00,	7.588445789404642e-01,	7.655127637917758e+00,	8.356512485493138e-01
1.550001333879592e-01,	2.021952742605502e+00,	7.663423864116374e-01,	7.341928299501888e+00,	8.439059483718823e-01
1.560001353706997e-01,	2.022722706341746e+00,	7.735314146700091e-01,	7.037578763069178e+00,	8.518206271270401e-01
1.570001374534403e-01,	2.023499708501630e+00,	7.804205305877124e-01,	6.742105388293567e+00,	8.594050537862932e-01
1.580001394361808e-01,	2.024283453454952e+00,	7.870186104943578e-01,	6.455506819620496e+00,	8.666690073279506e-01
1.590001415189213e-01,	2.025073654756637e+00,	7.933345191979574e-01,	6.177756400335056e+00,	8.736222536464557e-01
1.600001435016619e-01,	2.025870034492825e+00,	7.993770807684786e-01,	5.908804874874477e+00,	8.802745133951581e-01
1.610001454844024e-01,	2.026672323784199e+00,	8.051550614811562e-01,	5.648582491005072e+00,	8.866354432177358e-01
1.620001475671429e-01,	2.027480262480787e+00,	8.106771484737757e-01,	5.397001228535373e+00,	8.927146122625688e-01
1.630001495498835e-01,	2.028293598830396e+00,	8.159519309442517e-01,	5.153956860136532e+00,	8.985214814950343e-01
1.640001516326240e-01,	2.029112089940129e+00,	8.209878886064175e-01,	4.919330622498819e+00,	9.040653910011842e-01
1.650001536153645e-01,	2.029935501008288e+00,	8.257933738965809e-01,	4.692991123578395e+00,	9.093555404125735e-01
1.660001556981051e-01,	2.030763605847281e+00,	8.303766040843653e-01,	4.474795739799447e+00,	9.144009802349837e-01
1.670001576808456e-01,	2.031596186082706e+00,	8.347456470280479e-01,	4.264592263200029e+00,	9.192105961810230e-01
1.680001597635861e-01,	2.032433031662817e+00,	8.389084158580186e-01,	4.062220082138083e+00,	9.237931033315394e-01
1.690001617463266e-01,	2.033273940034455e+00,	8.428726577927286e-01,	3.867511597884004e+00,	9.281570338379275e-01
